date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2018-12-09,2018,0,0,GB,ATL,,,,,,
2018-12-09,2018,0,0,SF,DEN,,,,,,
2018-12-09,2018,0,0,LAC,CIN,,,,,,
2018-12-09,2018,0,0,DAL,PHI,,,,,,
2018-12-09,2018,0,0,ARI,DET,,,,,,
2018-12-09,2018,0,0,OAK,PIT,,,,,,
2018-12-10,2018,0,0,SEA,MIN,,,,,,
2018-12-13,2018,0,0,KC,LAC,,,,,,
2018-12-15,2018,0,0,NYJ,HOU,,,,,,
2018-12-15,2018,0,0,DEN,CLE,,,,,,
2018-12-16,2018,0,0,BUF,DET,,,,,,
2018-12-16,2018,0,0,IND,DAL,,,,,,
2018-12-16,2018,0,0,JAX,WSH,,,,,,
2018-12-16,2018,0,0,MIN,MIA,,,,,,
2018-12-16,2018,0,0,NYG,TEN,,,,,,
2018-12-16,2018,0,0,CIN,OAK,,,,,,
2018-12-16,2018,0,0,ATL,ARI,,,,,,
2018-12-16,2018,0,0,CHI,GB,,,,,,
2018-12-16,2018,0,0,BAL,TB,,,,,,
2018-12-16,2018,0,0,SF,SEA,,,,,,
2018-12-16,2018,0,0,PIT,NE,,,,,,
2018-12-16,2018,0,0,LAR,PHI,,,,,,
2018-12-17,2018,0,0,CAR,NO,,,,,,
2018-12-23,2018,0,0,CLE,CIN,,,,,,
2018-12-23,2018,0,0,TEN,WSH,,,,,,
2018-12-23,2018,0,0,NYJ,GB,,,,,,
2018-12-23,2018,0,0,CAR,ATL,,,,,,
2018-12-23,2018,0,0,NE,BUF,,,,,,
2018-12-23,2018,0,0,DET,MIN,,,,,,
2018-12-23,2018,0,0,DAL,TB,,,,,,
2018-12-23,2018,0,0,MIA,JAX,,,,,,
2018-12-23,2018,0,0,PHI,HOU,,,,,,
2018-12-23,2018,0,0,IND,NYG,,,,,,
2018-12-23,2018,0,0,SF,CHI,,,,,,
2018-12-23,2018,0,0,LAC,BAL,,,,,,
2018-12-23,2018,0,0,ARI,LAR,,,,,,
2018-12-23,2018,0,0,NO,PIT,,,,,,
2018-12-23,2018,0,0,SEA,KC,,,,,,
2018-12-24,2018,0,0,OAK,DEN,,,,,,
2018-12-30,2018,0,0,PIT,CIN,,,,,,
2018-12-30,2018,0,0,TB,ATL,,,,,,
2018-12-30,2018,0,0,NYG,DAL,,,,,,
2018-12-30,2018,0,0,NO,CAR,,,,,,
2018-12-30,2018,0,0,NE,NYJ,,,,,,
2018-12-30,2018,0,0,MIN,CHI,,,,,,
